"","Year","State","levels","days"
"1",1980,"Alabama","Good Days",806
"2",1980,"Alabama","Moderate Days",417
"3",1980,"Alabama","Hazardous Days",0
"4",1980,"Alabama","Unhealthy Days",32
"5",1980,"Alabama","Very Unhealthy Days",8
"6",1980,"Alabama","Unhealthy for Sensitive Days",174
"7",1980,"Alaska","Good Days",536
"8",1980,"Alaska","Moderate Days",196
"9",1980,"Alaska","Hazardous Days",0
"10",1980,"Alaska","Unhealthy Days",24
"11",1980,"Alaska","Very Unhealthy Days",16
"12",1980,"Alaska","Unhealthy for Sensitive Days",42
"13",1980,"Arizona","Good Days",934
"14",1980,"Arizona","Moderate Days",484
"15",1980,"Arizona","Hazardous Days",0
"16",1980,"Arizona","Unhealthy Days",535
"17",1980,"Arizona","Very Unhealthy Days",7
"18",1980,"Arizona","Unhealthy for Sensitive Days",413
"19",1980,"Arkansas","Good Days",476
"20",1980,"Arkansas","Moderate Days",84
"21",1980,"Arkansas","Hazardous Days",0
"22",1980,"Arkansas","Unhealthy Days",17
"23",1980,"Arkansas","Very Unhealthy Days",1
"24",1980,"Arkansas","Unhealthy for Sensitive Days",38
"25",1980,"California","Good Days",7606
"26",1980,"California","Moderate Days",3508
"27",1980,"California","Hazardous Days",4
"28",1980,"California","Unhealthy Days",609
"29",1980,"California","Very Unhealthy Days",725
"30",1980,"California","Unhealthy for Sensitive Days",1258
"31",1980,"Colorado","Good Days",2136
"32",1980,"Colorado","Moderate Days",970
"33",1980,"Colorado","Hazardous Days",0
"34",1980,"Colorado","Unhealthy Days",31
"35",1980,"Colorado","Very Unhealthy Days",8
"36",1980,"Colorado","Unhealthy for Sensitive Days",237
"37",1980,"Connecticut","Good Days",543
"38",1980,"Connecticut","Moderate Days",522
"39",1980,"Connecticut","Hazardous Days",0
"40",1980,"Connecticut","Unhealthy Days",157
"41",1980,"Connecticut","Very Unhealthy Days",143
"42",1980,"Connecticut","Unhealthy for Sensitive Days",209
"43",1980,"Delaware","Good Days",573
"44",1980,"Delaware","Moderate Days",233
"45",1980,"Delaware","Hazardous Days",0
"46",1980,"Delaware","Unhealthy Days",43
"47",1980,"Delaware","Very Unhealthy Days",8
"48",1980,"Delaware","Unhealthy for Sensitive Days",157
"49",1980,"District Of Columbia","Good Days",120
"50",1980,"District Of Columbia","Moderate Days",159
"51",1980,"District Of Columbia","Hazardous Days",0
"52",1980,"District Of Columbia","Unhealthy Days",25
"53",1980,"District Of Columbia","Very Unhealthy Days",9
"54",1980,"District Of Columbia","Unhealthy for Sensitive Days",53
"55",1980,"Florida","Good Days",3280
"56",1980,"Florida","Moderate Days",1132
"57",1980,"Florida","Hazardous Days",0
"58",1980,"Florida","Unhealthy Days",107
"59",1980,"Florida","Very Unhealthy Days",3
"60",1980,"Florida","Unhealthy for Sensitive Days",549
"61",1980,"Georgia","Good Days",2057
"62",1980,"Georgia","Moderate Days",409
"63",1980,"Georgia","Hazardous Days",0
"64",1980,"Georgia","Unhealthy Days",10
"65",1980,"Georgia","Very Unhealthy Days",5
"66",1980,"Georgia","Unhealthy for Sensitive Days",82
"67",1980,"Hawaii","Good Days",361
"68",1980,"Hawaii","Moderate Days",0
"69",1980,"Hawaii","Hazardous Days",0
"70",1980,"Hawaii","Unhealthy Days",0
"71",1980,"Hawaii","Very Unhealthy Days",0
"72",1980,"Hawaii","Unhealthy for Sensitive Days",0
"73",1980,"Idaho","Good Days",416
"74",1980,"Idaho","Moderate Days",427
"75",1980,"Idaho","Hazardous Days",0
"76",1980,"Idaho","Unhealthy Days",248
"77",1980,"Idaho","Very Unhealthy Days",0
"78",1980,"Idaho","Unhealthy for Sensitive Days",365
"79",1980,"Illinois","Good Days",3781
"80",1980,"Illinois","Moderate Days",1471
"81",1980,"Illinois","Hazardous Days",0
